"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10,C6";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";2;"220uF";;;
2;"R12,R11,R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"220";;;
3;"C1";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";1;"2.2uF";;;
4;"C2";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"0.47uF";;;
5;"C3";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"33uF";;;
6;"C4";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"0.01uF";;;
7;"C5";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";1;"1uF";;;
8;"C7";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";1;"270pF";;;
9;"C8";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";1;"2200uF";;;
10;"C9";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";1;"0.1mF";;;
11;"D1,D2,D3,D6";"D_5W_P12.70mm_Horizontal";4;"D1N4004";;;
12;"D4,D5";"D_5W_P12.70mm_Horizontal";2;"D1N750";;;
13;"Q3";"TO-92_Molded_Narrow";1;"D400";;;
14;"Q4";"TO-92_Molded_Narrow";1;"A683";;;
15;"Q5";"TO-92_Molded_Narrow";1;"TIP3055";;;
16;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"12K";;;
17;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"39K";;;
18;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"56K";;;
19;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100K";;;
20;"R5,R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100";;;
21;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"3.3K";;;
22;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"560";;;
23;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1";;;
24;"R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"5K6";;;
25;"R14,R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"0.33";;;
26;"R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10";;;
27;"S1";"RV_Disc_D12_W3.9_P7.5";1;"8K";;;
28;"T1";"TO-92_Molded_Narrow";1;"A733";;;
29;"T2";"TO-92_Molded_Narrow";1;"D313";;;
30;"P1";"SolderWirePad_3x_1mmDrill";1;"Entrada";;;
31;"Q6";"TO-92_Molded_Wide";1;"TIP3055";;;
32;"VR1";"Potentiometer_Alps_RK097_Single_Vertical";1;"100K";;;
33;"VR2";"Potentiometer_Alps_RK097_Single_Vertical";1;"10";;;
